Local time in Beijing / Peking,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.1,762.4,765.4,1.1,36,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,,,10.0,18.6,,,2500 or more  or no clouds.,,,28.0,-4.3,No precipitation,12,,,,
07.04.2020 20:00,12.9,761.3,764.2,1.2,27,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.6,,,2500 or more  or no clouds.,,,25.0,-5.6,No precipitation,12,,,,
07.04.2020 17:00,17.2,760.1,763.0,-1.4,24,Wind blowing from the south,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.4,,,2500 or more  or no clouds.,,,16.0,-3.5,No precipitation,12,,,,
07.04.2020 14:00,18.2,761.5,764.5,-2.1,18,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,23.6,,,2500 or more  or no clouds.,,,21.0,-6.5,No precipitation,12,,,,
07.04.2020 11:00,15.3,763.6,766.6,0.4,24,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,2500 or more  or no clouds.,,,12.0,-5.1,No precipitation,12,,,,
07.04.2020 08:00,13.3,763.2,766.1,1.9,39,Wind blowing from the east,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,23.6,,,2500 or more  or no clouds.,,,7.0,-0.4,No precipitation,12,,,,
07.04.2020 05:00,12.9,761.3,764.2,1.2,43,Wind blowing from the north-east,2,,6,,Haze. ,,,7.0,23.6,,,2500 or more  or no clouds.,,,6.0,0.6,No precipitation,12,,,,
07.04.2020 02:00,13.1,760.1,763.0,0.7,62,Wind blowing from the north-east,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,23.6,,,2500 or more  or no clouds.,,,3.8,6.0,No precipitation,12,,,,
06.04.2020 23:00,14.3,759.4,762.3,1.3,59,Wind blowing from the north-northeast,1,,8,,Haze. ,,,7.0,23.6,,,2500 or more  or no clouds.,,,4.3,6.4,No precipitation,12,,,,
06.04.2020 20:00,18.2,758.1,761.0,1.6,45,Wind blowing from the south-west,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,23.6,,,2500 or more  or no clouds.,,,6.0,6.1,No precipitation,12,,,,
